#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
4498,Kevin Santos,699176,699176,sa3016174,,FA,OF,OF
4499,Kevin Sim,691726,691726,sa3022560,,ARI,3B,3B
4500,Kevin Smith,675656,675656,20242,10265,OAK,SS/3B,SS/3B
4501,Kevin Smith,663325,663325,sa3007710,11013,BAL,SP,SP
4502,Kevin Strohschein,680959,680959,sa3010859,,FA,OF,OF
4503,Kevin Verde,814269,814269,sa3021326,,NYY,SS,SS
4504,Kevin Vicuna,660631,660631,sa872466,,FA,SS,SS
4505,Kevin Villavicencio,692944,692944,sa3015673,,NYM,SS,SS
4506,Kevin Watson,675982,675982,sa3005151,,LAA,OF,OF
4507,Kevyn Castillo,800203,800203,sa3019771,,LAA,OF,OF
4508,Keyber Rodriguez,677601,677601,sa3005488,,TEX,SS,SS
4509,Keylan Killgore,681154,681154,sa3008069,,PHI,RP,RP
4510,Keynan Middleton,641871,641871,15264,9532,NYY,RP,RP
4511,Keyner Benitez,808547,808547,sa3021795,,MIA,SP,SP
4512,Keyshawn Askew,681094,681094,sa3017916,,TB,SP,SP
4513,Khalil Lee,666137,666137,19952,10266,FA,OF,OF
4514,Khris Almonte,808494,808494,sa3021273,,MIA,OF,OF
4515,Khris Davis,501981,9112,9112,8446,FA,DH,DH
4516,Kier Meredith,669218,669218,sa3017325,,BOS,OF,OF
4517,Kingston Liniak,669460,669460,sa3007020,,FA,OF,OF
4518,Kirby Snead,669912,669912,19179,11243,OAK,RP,RP
4519,Kirby Yates,489446,9073,9073,8808,ATL,RP,RP
4520,Kirk McCarty,668948,668948,20555,,FA,RP,RP
4521,Kit Scheetz,677415,677415,sa873684,,FA,RP,RP
4522,Kleiver Chauran,808264,808264,sa3021221,,TB,SS,SS
4523,Kleyver Salazar,808307,808307,sa3021241,,BOS,C,C
4524,Kliubert Avila,693805,693805,sa3015684,,PHI,C,C
4525,Kobe Kato,701158,701158,sa3017052,,HOU,2B,2B
4526,Kobe Robinson,688601,688601,sa3017764,,SD,RP,RP
4527,Kodai Senga,673540,673540,31838,11182,NYM,SP,SP
4528,Kodi Medeiros,656727,656727,sa828664,,FA,RP,RP
4529,Kodi Whitley,676831,676831,19731,10723,ATL,RP,RP
4530,Kody Clemens,665019,665019,20572,11342,PHI,1B/3B,1B/2B/ 3B/OF
4531,Kody Funderburk,681892,681892,24993,11850,MIN,RP,RP
4532,Kody Hoese,682210,682210,sa3010021,11050,LAD,3B,3B
4533,Kody Huff,687627,687627,sa3019982,,COL,C,C
4534,Koen Moreno,691103,691103,sa3014509,,CHC,SP,SP
4535,Kohei Arihara,685503,685503,27505,,FA,SP,SP
4536,Kohl Drake,684442,684442,sa3021723,,TEX,SP,SP
4537,Kohl Franklin,681673,681673,sa3008335,,CHC,SP,SP
4538,Kohl Simas,702030,702030,sa3016949,,CHW,SP,SP
4539,Kohl Stewart,640464,640464,15502,8677,FA,SP,SP
4540,Kolby Allard,663465,663465,18694,9790,ATL,SP,SP
4541,Kolby Kubichek,681443,681443,sa3017271,,NYM,RP,RP
4542,Kole Calhoun,594777,11200,11200,8295,CLE,1B/OF,1B/OF
4543,Kole Cottam,663526,663526,sa3006780,,BOS,C,C
4544,Kolten Wong,543939,12532,12532,8217,LAD,2B,2B
4545,Kolton Ingram,688427,688427,26068,11702,LAA,RP,RP
4546,Kona Quiggle,669096,669096,sa3010588,,FA,OF,OF
4547,Konner Piotto,702920,702920,sa3016810,,TEX,C,C
4548,Konner Wade,592831,592831,14655,,SEA,RP,RP
4549,Konnor Pilkington,663455,663455,21453,11386,ARI,SP,SP
4550,Korey Holland,680690,680690,sa3008249,,CLE,OF,OF
4551,Korey Lee,686676,686676,25543,11313,CHW,C,C
4552,Korry Howell,676759,676759,sa3008238,,SD,OF,OF
4553,Kramer Robertson,670298,670298,20022,11464,STL,SS,SS
4554,Kris Bryant,592178,15429,15429,8644,COL,OF,OF
4555,Kris Bubic,663460,663460,21455,10933,KC,SP,SP
4556,Kristian Cardozo,691258,691258,sa3014706,,SEA,SP,SP
4557,Kristian Robinson,677565,677565,sa3006884,10267,ARI,OF,OF
4558,Kumar Nambiar,687643,687643,sa3010666,,OAK,SP,SP
4559,Kumar Rocker,677958,677958,sa3020827,,TEX,SP,SP
4560,Kurt Suzuki,435559,8259,8259,,FA,C,C
4561,Kutter Crawford,676710,676710,20531,11283,BOS,SP,SP
4562,Kwang Hyun Kim,547942,547942,27458,,FA,SP,SP
4563,Ky Bush,681066,681066,sa3017386,,CHW,SP,SP
4564,Kyle Backhus,679775,679775,sa3017068,,ARI,SP,SP
4565,Kyle Barraclough,607457,13713,13713,9121,BOS,RP,RP
4566,Kyle Battle,690350,690350,sa3016968,,NYY,OF,OF
4567,Kyle Bird,613317,613317,16618,,FA,RP,RP
4568,Kyle Bradish,680694,680694,24586,11099,BAL,SP,SP
4569,Kyle Brnovich,686599,686599,sa3014923,,BAL,SP,SP
4570,Kyle Carr,694805,694805,,,NYY,P,P
4571,Kyle Cody,621129,621129,19686,10780,TEX,RP,RP
4572,Kyle Crick,605195,13182,13182,,FA,RP,RP
4573,Kyle Crigger,805732,805732,sa3019884,,MIA,RP,RP
4574,Kyle Datres,663979,663979,sa3008029,,COL,2B,2B
